revenue,expenses,cash_inflow,cash_outflow,debt,assets,cash_flow,risk
120000,90000,100000,95000,40000,200000,5000,0
250000,180000,200000,230000,120000,350000,-30000,1
180000,150000,160000,140000,60000,300000,20000,0
320000,260000,250000,290000,180000,500000,-40000,1
140000,100000,120000,110000,50000,220000,10000,0
275000,210000,240000,260000,130000,400000,-20000,1
195000,160000,170000,150000,75000,310000,20000,0
360000,300000,280000,330000,200000,550000,-50000,1
160000,130000,150000,140000,65000,260000,10000,0
220000,170000,200000,180000,90000,330000,20000,0
